30,1628931
32,1630498
,
89,1660149
91,1662174
,
103,1667016
105,1669444
,
129,1679474
131,1681197
,
144,1686848
146,1688964
,
182,1707404
184,1708158
186,1708354
,
210,1719681
212,1720693
,
236,1735407
239,1738306
241,1738686
,
278,1754322
280,1755897
,
304,1766351
306,1767579
,
318,1773731
320,1774454
,
332,1779068
334,1782711
,
382,1803928
384,1806598
,
408,1816001
410,1819733
,
425,1824168
427,1824820
,
476,1850253
478,1851388
,
514,1874935
516,1875678
,
531,1899798
533,1902669
,
535,1906955
537,1907331
539,1907497
541,1907844
,
543,1914610
545,1914773
547,1914907
,
549,1915083
551,1915247
553,1915417
555,1915589
557,1915755
559,1915923
,
561,1919814
563,1919988
,
565,1920092
567,1920252
569,1920413
571,1920568
573,1920734
575,1920904
,
615,1951720
617,1951902
,
640,1962878
642,1964311
,
658,1970345
660,1970527
,
701,1989545
703,1989736
,
716,2000794
718,2001737
720,2001945
,
732,2015972
734,2016645
,
759,2026512
761,2027051
,
773,2032358
775,2033264
777,2034395
779,2034865
,
793,2038762
795,2040599
,
807,2044200
809,2046165
,
821,2049704
823,2050464
825,2051216
,
853,2066049
855,2066224
857,2066402
,
868,2067345
870,2069324
,
884,2074722
886,2075263
,
899,2079577
901,2080129
903,2080937
,
917,2085044
919,2085858
921,2086500
,
933,2090473
935,2093752
,
947,2096105
949,2098015
,
962,2102148
964,2102804
,
976,2108476
978,2109392
980,2110816
982,2111693
,
1006,2119422
1008,2120164
1010,2120980
,
1036,2132839
1038,2133556
,
1064,2144345
1066,2146215
,
1104,2161523
1106,2162836
,
1119,2167349
1121,2167991
,
1133,2176144
1135,2177749
,
1173,2194436
1175,2195704
,
1187,2200285
1189,2201045
,
1191,2201233
1193,2201730
,
1217,2211047
1219,2211725
,
1232,2216524
1234,2217318
,
1246,2222007
1248,2223761
1250,2224467
,
1302,2245231
1304,2246045
,
1330,2255931
1332,2257223
,
1346,2261565
1348,2262967
,
1361,2267178
1363,2270939
,
1402,2284680
1404,2287976
,
1416,2289876
1418,2290691
,
1442,2304480
1444,2305842
1446,2306456
1448,2306980
,
1460,2310213
1462,2311629
1464,2312308
,
1489,2323239
1491,2323831
,
1519,2334735
1521,2336482
,
1547,2346227
1549,2347987
,
1561,2351484
1563,2352055
,
1577,2356753
1579,2358445
,
1606,2367891
1608,2370342
1610,2370853
,
1623,2372929
1625,2373768
,
1638,2378211
1640,2379157
,
1665,2390794
1667,2392410
,
1681,2396907
1683,2399180
,
1732,2417823
1734,2420613
,
1736,2421445
1739,2421987
,
1741,2422784
1743,2423567
1745,2424176
1747,2424401
,
1758,2426902
1760,2428400
1762,2429266
,
1787,2439332
1789,2441447
,
1802,2444333
1804,2446924
,
1806,2447214
1808,2447754
,
1832,2457367
1834,2458971
1836,2459698
,
1885,2479580
1887,2482879
,
1901,2484740
1903,2485165
,
1915,2490525
1917,2492450
,
1930,2496049
1932,2497657
1934,2498497
,
1946,2501181
1948,2501788
1950,2502714
,
1964,2511645
1966,2512349
,
1978,2515303
1980,2516540
,
1982,2517164
1984,2518169
,
1986,2519134
1988,2519321
1990,2519615
,
2002,2520893
2004,2522133
,
2041,2539440
2043,2540146
,
2045,2541004
2047,2543059
,
2059,2544947
2061,2545670
,
2085,2560789
2087,2561373
,
2099,2566330
2101,2566987
,
