37,2027536
39,2028164
,
50,2031339
52,2032728
,
76,2042060
78,2045235
,
138,2075349
140,2075924
,
176,2093425
179,2094000
,
216,2111058
219,2115317
,
294,2149049
296,2150028
,
417,2208901
419,2209445
,
545,2263556
547,2263983
,
597,2289699
599,2290945
,
601,2291044
603,2292030
,
627,2300937
629,2301641
,
644,2307204
646,2310059
,
675,2319189
677,2319631
,
764,2362055
766,2362240
,
880,2412699
882,2413059
,
923,2431478
925,2433252
,
952,2447252
954,2447801
,
995,2469724
997,2470838
,
1022,2481132
1024,2481486
,
1027,2483205
1029,2483770
,
1044,2491063
1047,2491727
,
1073,2501500
1075,2502478
,
1412,2679652
1415,2680137
,
1430,2689642
1433,2690170
,
1433,2690170
1444,2691408
,
1567,2756797
1569,2757600
,
1830,2909220
1832,2909851
,
1882,2939769
1884,2940571
,
1981,3005427
1983,3006129
,
2239,3185505
2241,3185930
,
2374,3328657
2376,3329337
,
2616,3561450
2618,3561822
,
2642,3594370
2644,3595782
,
2656,3601229
2658,3601667
,
2672,3618223
2674,3619072
2676,3619259
,
2712,3697965
2714,3699131
,
2762,3744938
2764,3746171
2766,3746907
